ExNo	DsrAB	Temp	ID	Hours	SO30	SO3n	TrithioS	ThiosulfS	d34SO30	d34SO3D	d34SO3	d34oxD	d34ox	d34redD	d34red	d33SO30	d33SO3	d33ox	d33red	d36SO30	d36SO3	d36ox	d36red	suspect				
181112	14.8	20	0	0	11.1	11.1	0.0	0.0	-2.1	-2.1	-2.121	NA	NA	NA	NA	-1.0480	-1.0480	NA	NA	-4.053	-4.053	NA	NA	FALSE				
181112	14.8	31	1	1.5	11.1	10.6	0.1	0.0	-2.1	-1.7	-1.683	NA	0.719	-19.3	NA	-1.0480	-0.849	0.350	NA	-4.053	-2.742	1.154	NA	FALSE				
181112	14.8	31	2	3.9	11.1	10.5	0.3	0.0	-2.1	-1.9	-1.754	NA	0.689	-18.8	NA	-1.0480	-0.867	0.339	NA	-4.053	-3.525	1.047	NA	FALSE				
181112	14.8	31	3	8.0	11.1	9.8	0.6	0.1	-2.1	-2.1	NA	NA	1.023	NA	-17.548	-1.0480	NA	0.505	-9.029	-4.053	NA	1.697	-33.012	FALSE				
181112	14.8	31	4	14.4	11.1	8.7	1.3	0.3	-2.1	-2.1	-2.051	NA	1.433	NA	-16.320	-1.0480	-1.026	0.712	-8.404	-4.053	-4.121	2.350	-31.321	FALSE				
181112	14.8	31	5	26.0	11.1	7.6	2.2	0.5	-2.1	-2.6	-2.564	NA	3.811	-14.1	-16.410	-1.0480	-1.319	1.918	-8.441	-4.053	-4.657	6.908	-30.511	FALSE				
181112	14.8	31	6	32.4	11.1	5.3	2.5	0.5	-2.1	-2.7	-2.628	NA	5.035	NA	-15.732	-1.0480	-1.335	2.598	-8.092	-4.053	-5.444	9.148	-30.266	FALSE				
181112	14.8	31	1	1.5	11.1	9.7	0.1	0.0	-2.1	-2.0	NA	NA	0.365	NA	NA	-1.0480	NA	0.153	NA	-4.053	NA	0.248	NA	FALSE				
181112	14.8	31	2	3.9	11.1	10.6	0.3	0.0	-2.1	-1.9	NA	NA	1.631	-18.9	NA	-1.0480	NA	0.833	NA	-4.053	NA	2.634	NA	FALSE				
181112	14.8	31	3	8.0	11.1	9.7	0.5	0.1	-2.1	-2.1	-2.489	NA	1.492	NA	NA	-1.0480	-1.247	0.737	NA	-4.053	-5.311	2.303	NA	FALSE				
181112	14.8	31	4	14.4	11.1	8.5	1.2	0.2	-2.1	-2.4	-2.666	NA	2.820	NA	-15.894	-1.0480	-1.354	1.421	-8.166	-4.053	-5.045	4.897	-29.894	FALSE				
181112	14.8	31	5	26.0	11.1	7.5	2.3	0.5	-2.1	-2.8	-2.581	NA	3.787	NA	NA	-1.0480	-1.299	1.926	NA	-4.053	-4.836	6.994	NA	FALSE				
181112	14.8	31	6	32.4	11.1	4.3	2.8	0.6	-2.1	-3.1	-2.814	NA	5.135	NA	-15.465	-1.0480	-1.429	2.641	-7.961	-4.053	-5.874	9.475	-29.673	FALSE				
181112	14.8	20	1	1.5	11.1	9.7	0.0	0.0	-2.1	-1.8	-1.886	NA	0.182	NA	NA	-1.0480	-0.945	0.026	NA	-4.053	-4.057	0.068	NA	FALSE				
181112	14.8	20	2	3.9	11.1	10.9	0.1	0.0	-2.1	-1.7	-1.875	NA	0.750	NA	NA	-1.0480	-0.952	0.390	NA	-4.053	-3.501	0.993	NA	FALSE				
181112	14.8	20	3	8.0	11.1	9.2	0.1	0.0	-2.1	-2.1	-1.700	NA	0.361	NA	NA	-1.0480	-0.838	0.154	NA	-4.053	-3.373	0.055	NA	FALSE				
181112	14.8	20	4	14.4	11.1	8.9	0.4	0.1	-2.1	-1.9	-2.117	NA	1.956	NA	NA	-1.0480	-1.065	0.973	NA	-4.053	-4.679	3.364	NA	FALSE				
181112	14.8	20	5	26.0	11.1	8.8	0.8	0.2	-2.1	-2.0	NA	NA	3.031	NA	-14.995	-1.0480	NA	1.521	-7.729	-4.053	NA	5.391	-28.686	FALSE				
181112	14.8	20	6	32.4	11.1	7.0	1.2	0.2	-2.1	-2.2	-1.832	NA	5.750	NA	-15.350	-1.0480	-0.913	2.904	-7.903	-4.053	-3.472	10.864	-29.569	FALSE				
181112	14.8	20	1	1.5	11.1	10.2	0.0	0.0	-2.1	-1.9	-1.919	NA	0.428	NA	NA	-1.0480	-0.964	0.178	NA	-4.053	-3.811	0.518	NA	FALSE				
