"LineNo","Dsr.ExNo","Dsr.Temp","Dsr.Hours","f","j","alphaT.34.a","alphaT.33.a","alphaT.36.a","alpha.red.34.a","alpha.red.33.a","alpha.red.36.a","alpha.ox.34.a","alpha.ox.33.a","alpha.ox.36.a","lambda.red.33.a","lambda.red.36.a","lambda.ox.33.a","lambda.ox.36.a"
1,181112,20,0,1,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,181112,31,1.5,0.954954954954955,0,0.990935556082,0.99567836523228,NA,NA,NA,NA,1.00261707054542,1.00130050214481,NA,NA,NA,0.497257184428476,NA
3,181112,31,3.9,0.945945945945946,0,0.99376158068521,0.996739716405,NA,NA,NA,NA,1.00262267029052,1.00129858535543,NA,NA,NA,0.495465999066143,NA
4,181112,31,8,0.882882882882883,0.142857142857143,NA,NA,1.05375189488474,NA,NA,0.97410949351063,NA,NA,1.00907411190327,NA,NA,NA,NA
5,181112,31,14.4,0.783783783783784,0.1875,0.999798450491473,0.999909602457038,1.02427628772731,0.985726855909643,0.992625795899315,0.975383023845572,1.00351679661492,1.00175126308093,1.00928705376250,0.514853616733028,1.73379701482563,0.498409923629039,2.6332030856941
6,181112,31,26,0.684684684684685,0.185185185185185,1.00122779419121,1.00071627074591,1.00707860138099,0.985874671915832,0.992725424582517,0.974657672171406,1.00614264102980,1.00309661043555,1.01227616545496,0.513225334849429,1.80436544628255,0.504882524198397,1.99244275887644
7,181112,31,32.4,0.477477477477477,0.166666666666667,1.00071594122063,1.00038870060597,1.00140221284829,0.986568469542629,0.993073854460828,0.974123412053123,1.00738400698466,1.00377641911822,1.01371581591095,0.513974281925181,1.93878211689714,0.512351300017184,1.85168276689167
8,181112,31,1.5,0.873873873873874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,181112,31,3.9,0.954954954954955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,181112,31,8,0.873873873873874,0.166666666666667,1.00289198090603,1.001477746358,NA,NA,NA,NA,1.00379082510257,1.00188442640145,NA,NA,NA,0.497574855195364,NA
11,181112,31,14.4,0.765765765765766,0.142857142857143,1.00212587776609,1.00114796598325,1.01309808308432,0.986444320743398,0.993019874716298,0.975681522025386,1.00520278682164,1.00261833730067,1.01067247748055,0.513217827960572,1.80380570969403,0.503905321835178,2.0457345780789
